"age","gender","college.degree","degree.level","non.sandler.trained","sandler.trained","prior.Industry","current.job.sales.years","avg.percent.of.revenue.goal","AS1","AS2","AS3","AS4","AS5","AS6","AS7","AS8","AS9","AS10","SC1","SC2","SC3","SC4","SC5","SC6","SC7","SC8","SC9","SC10","AD1","AD2","AD3","AD4","AD5","AD6","AD7","AD8","AD9","AD10","DO1","DO2","DO3","DO4","DO5","DO6","DO7","DO8","DO9","DO10"
21,1,"n","none","no","yes","Business Manager",1,"50%",5,5,4,4,5,5,2,2,1,1,4,4,5,5,4,2,2,3,3,1,2,5,5,4,4,1,1,4,2,4,5,4,3,2,3,2,5,5,1,3
21,1,"n","none","no","no","Sales",1,"50%",4,5,4,3,4,4,2,2,1,4,5,5,3,5,4,1,3,2,1,2,5,4,4,5,2,1,1,2,3,2,5,4,2,3,4,4,4,3,4,2
21,1,"n","none","no","yes","Restaurant",1,"50%",2,3,3,5,3,5,3,2,2,1,1,2,3,2,5,4,1,4,4,4,2,2,4,3,5,3,3,4,5,3,5,5,5,4,4,4,5,5,5,5
21,1,"n","none","no","yes","Restaurant",1,"70%",2,4,4,3,4,4,4,4,4,2,3,2,3,2,2,4,3,2,4,1,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
21,1,"y","none","no","yes","Restaurant",1,"50%",3,3,2,4,2,3,4,4,4,3,3,4,2,3,4,3,2,2,4,2,2,4,4,3,4,2,2,4,2,4,4,3,2,2,3,3,3,3,4,2
21,1,"y","Associates","no","no","Sales",1,"70%",4,5,4,3,4,2,2,2,1,1,4,5,4,4,4,1,2,2,2,2,5,5,5,5,2,1,1,3,1,3,3,3,3,4,2,3,2,4,3,2
22,1,"n","none","no","no"," Construction",2,"50%",4,5,4,4,1,4,2,2,2,2,2,4,2,4,4,2,2,4,2,4,4,4,4,4,2,1,1,2,1,2,5,5,5,4,4,4,4,4,2,2
22,1,"n","none","no","no","Manufacturing",2,"50%",4,4,5,4,4,4,3,3,2,1,5,4,5,4,4,2,2,1,2,1,4,5,4,4,2,1,1,3,1,2,1,4,4,3,4,4,4,4,3,3
22,1,"n","none","no","no","Technology",2,"30%",4,4,3,4,4,3,3,4,2,1,4,4,2,4,3,1,2,2,2,2,4,4,5,4,3,2,2,2,3,4,4,2,3,2,3,4,4,4,3,3
22,1,"n","none","no","no","Training",2,"20%",4,3,4,4,3,4,4,1,1,2,2,3,2,4,4,4,2,4,3,2,4,5,5,4,3,2,1,4,1,2,5,5,4,4,2,3,4,4,2,3
22,1,"y","Associates","no","yes","Office Manager",2,"30%",3,4,3,4,3,3,2,2,2,2,3,2,4,3,4,2,2,3,3,2,3,4,5,5,3,2,2,4,2,2,4,3,2,2,3,2,3,4,3,2
22,1,"y","Associates","yes","yes","Insurance",2,"10%",4,4,3,4,4,4,1,1,1,1,4,2,4,4,3,4,2,1,2,2,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,2
26,1,"y","Masters","no","yes","Technology",2,"70%",5,4,4,5,3,4,2,2,1,1,5,5,4,5,4,1,1,2,2,2,3,5,5,4,2,2,2,4,1,1,1,1,4,4,5,4,5,4,2,1
22,1,"y","Associates","no","yes","Office Manager",2,"70%",1,3,2,4,3,4,4,3,2,1,1,1,2,1,3,4,3,4,4,2,3,5,5,5,3,3,2,4,1,2,4,4,4,3,5,2,2,4,2,3
22,1,"y","Associates","no","yes","Construction",2,"20%",5,4,2,5,1,5,1,4,1,1,5,5,5,5,5,1,3,1,4,1,1,5,5,5,2,1,5,1,5,1,5,5,5,5,5,5,5,5,5,1
24,1,"y","Associates","no","no","Technology",2,"70%",3,3,2,4,3,4,3,3,1,1,4,4,3,3,4,2,2,2,3,3,5,5,5,5,3,2,1,3,1,1,4,4,4,2,4,3,4,4,3,2
24,1,"y","unknown","yes","yes","Insurance",2,"50%",3,4,5,4,4,4,2,3,1,1,4,5,3,3,4,3,1,3,3,1,4,5,5,5,2,1,1,2,1,2,3,2,3,3,4,2,1,4,5,2
24,1,"y","Bachelors","no","yes","Financial",2,"70%",5,4,4,5,4,4,2,2,5,2,5,4,5,5,4,2,2,1,3,1,4,5,5,5,3,2,2,2,1,2,4,4,3,2,3,3,3,4,3,3
24,1,"y","unknown","no","yes","Marketing",2,"50%",5,5,5,3,5,5,1,1,1,1,3,5,4,5,3,1,3,3,3,2,4,5,5,5,1,1,1,1,1,1,5,5,5,5,3,5,5,5,5,5
25,1,"y","Bachelors","no","yes","Financial",2,"10%",1,2,2,1,2,1,4,4,1,2,2,2,1,1,1,4,5,5,4,5,3,2,5,2,4,4,3,3,2,1,3,4,5,2,2,2,4,5,3,1
25,1,"n","none","no","no","Restaurant",2,"50%",5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,1,1,3,3,3,5,5,5,5,4,2,2,3,2,2,3,3,4,4,4,3,4,4,3,3
25,1,"y","Associates","yes","yes","Insurance",2,"70%",4,2,3,4,3,3,4,3,1,1,4,2,3,4,4,4,2,3,4,1,5,5,5,5,2,2,3,3,2,2,4,4,4,3,4,4,4,4,3,3
25,1,"y","Masters","no","yes","Programmer",2,"70%",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,1,"y","Masters","no","yes","Building ",2,"50%",1,1,3,2,2,4,4,3,2,4,4,4,3,1,2,2,4,2,2,2,3,5,5,5,2,2,2,3,2,2,4,4,4,2,2,2,2,4,2,2
26,1,"n","none","no","no","Retail",2,"20%",5,2,2,4,1,2,4,3,1,1,4,3,2,5,2,2,2,3,4,2,4,3,2,4,2,1,1,4,1,1,4,4,2,2,2,2,5,2,2,2
26,1,"n","none","no","yes","Construction",2,"70%",2,4,3,3,2,2,4,4,2,2,4,2,2,2,2,4,2,2,3,4,5,5,4,4,2,1,1,4,4,2,4,5,3,3,2,4,5,4,4,2
26,1,"y","Associates","no","yes","Manufacturing",2,"70%",4,2,3,3,4,3,1,3,1,1,3,1,3,4,3,1,2,2,1,4,5,5,5,5,3,2,2,4,1,1,5,5,3,1,1,1,5,4,1,2
26,1,"y","Bachelors","no","yes","Restaurant",2,"10%",4,2,1,4,3,2,4,3,2,3,4,1,4,4,4,5,2,1,5,3,3,5,5,4,3,2,2,4,2,4,3,2,3,1,3,1,1,4,2,1
26,1,"y","Bachelors","no","yes","Consulting",2,"30%",3,3,3,2,2,2,3,2,3,2,2,3,4,3,4,4,2,4,4,3,2,2,4,4,3,3,2,3,2,4,3,3,4,2,2,3,2,2,2,2
27,1,"n","none","no","no","Operations",2,"50%",5,4,5,3,5,5,4,1,1,1,4,4,4,5,3,2,4,2,2,3,4,4,4,4,2,1,1,1,1,1,2,2,4,4,5,3,4,3,4,4
27,1,"n","none","no","no","Financial",2,"30%",3,3,5,4,4,5,3,4,3,2,3,3,3,3,3,2,3,3,3,3,3,5,4,4,2,3,1,3,1,2,4,3,2,5,4,5,3,3,2,2
27,1,"y","Associates","no","no","Operations",2,"70%",2,3,3,3,1,2,4,2,3,2,2,2,1,2,3,4,3,4,4,1,2,3,5,3,4,4,4,3,1,1,3,2,4,3,2,5,3,2,3,3
27,1,"y","Bachelors","no","yes","Manufacturing",2,"30%",5,4,4,5,3,4,2,2,5,2,5,5,5,4,5,1,1,1,1,2,5,4,5,5,2,1,1,2,1,2,5,5,2,2,3,4,3,3,1,2
28,1,"n","none","no","yes","Operations",2,"70%",4,3,4,4,3,3,4,4,1,1,4,4,3,3,4,2,2,2,4,2,5,5,5,5,4,1,1,4,1,1,4,4,4,3,4,3,4,4,3,2
29,1,"y","Bachelors","no","yes","Web Tech ",2,"70%",4,3,2,5,5,4,1,4,1,1,2,3,4,4,5,3,1,2,2,2,4,4,5,5,2,1,2,3,2,3,3,2,3,2,3,4,3,3,2,3
29,1,"y","Bachelors","no","yes","Pilot",2,"20%",3,2,2,4,3,4,3,3,2,2,4,4,4,4,3,2,2,2,2,2,3,4,4,4,4,2,2,2,2,2,4,4,3,2,4,3,4,3,2,2
20,1,"n","Associates","yes","no","Operations",1,"20%",4,3,4,2,2,4,4,4,1,1,3,4,2,4,2,2,2,4,3,4,2,3,4,5,5,3,4,4,2,5,5,4,5,4,5,2,5,4,5,4
21,1,"y","Associates","yes","no","Sales",1,"40%",4,2,3,1,2,1,4,4,2,1,3,1,2,3,2,4,2,2,3,4,3,3,5,4,3,3,3,4,3,4,4,4,3,3,2,3,2,1,3,3
22,1,"y","Associates","yes","no","Manufacturing",2,"50%",2,1,4,3,3,2,4,4,4,1,2,2,4,2,4,4,2,4,4,3,2,4,3,2,4,4,3,4,2,2,2,4,3,1,2,2,1,3,2,2
24,1,"y","Bachelors","yes","no","Marketing",2,"30%",5,5,5,4,5,5,2,1,1,1,4,5,5,5,4,1,1,1,1,1,4,5,5,5,3,2,2,3,5,3,5,5,4,5,5,5,5,5,4,4
25,1,"n","none","yes","no","Financial",2,"70%",4,5,4,3,2,4,4,4,1,2,5,2,4,2,3,3,2,2,4,1,2,4,5,4,2,2,1,4,1,2,5,5,5,4,4,4,4,4,1,1
26,1,"y","Masters","yes","no","Technology",2,"30%",4,5,5,4,4,5,3,3,2,2,4,3,4,4,4,3,2,2,3,2,4,5,5,5,3,1,1,3,4,3,4,4,3,3,3,2,4,4,3,3
21,1,"n","none","no","no","Training",1,"70%",4,4,4,4,3,3,3,2,2,2,4,4,3,4,5,2,1,2,1,1,4,5,5,5,2,2,2,2,1,2,4,4,3,2,2,3,4,4,1,2
23,1,"n","none","no","yes","Financial",3,"50%",5,4,5,4,5,4,1,2,1,1,5,5,5,5,4,1,2,1,1,1,5,5,5,5,4,3,3,3,1,1,5,5,3,3,5,2,5,5,1,3
23,1,"n","Associates","no","no","Training",3,"30%",4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,"n","none","no","no","Restaurant",3,"20%",4,4,4,5,4,4,2,3,1,1,5,5,2,4,4,2,2,1,2,4,5,5,5,5,2,2,2,3,3,3,4,3,4,4,3,2,3,3,3,2
23,1,"n","none","no","yes","Financial",3,"30%",4,4,4,4,3,4,2,2,2,1,5,4,4,4,4,2,2,2,2,2,4,4,4,4,2,1,1,1,1,3,4,4,4,2,3,4,3,3,2,2
23,1,"n","Masters","no","yes","Technology",3,"50%",4,4,4,3,5,3,4,3,5,1,5,5,4,4,2,1,4,2,2,1,4,4,4,5,4,3,3,2,2,2,4,4,2,3,2,2,2,2,2,1
23,1,"n","Masters","no","yes","Technology",3,"50%",5,4,3,5,4,4,1,2,1,1,5,4,5,5,4,2,1,2,3,2,4,4,4,4,2,2,1,2,1,1,4,4,3,3,3,3,4,4,4,4
23,1,"y","Bachelors","yes","yes","Insurance",3,"70%",2,4,4,4,4,4,2,2,1,1,3,2,2,3,3,2,2,4,4,1,3,4,5,5,4,2,1,3,2,2,5,5,4,3,4,4,3,3,3,3
58,1,"y","Associates","no","yes","Construction",20,"70%",2,4,3,4,4,3,3,3,2,2,4,2,3,4,3,4,2,4,4,2,3,4,5,5,2,2,4,4,2,2,4,4,5,4,5,5,4,4,3,3
23,1,"y","Bachelors","no","yes","Banking",3,"40%",3,4,3,5,4,4,3,1,1,1,5,5,5,3,4,2,2,1,1,1,5,5,5,5,5,3,1,4,1,3,5,5,5,3,5,4,5,5,5,5
23,1,"y","Bachelors","yes","yes","Insurance",3,"10%",4,4,4,4,3,4,2,3,5,1,3,4,1,4,2,2,2,4,3,3,2,1,5,4,2,3,2,4,3,4,5,4,5,4,5,3,3,4,4,4
23,1,"y","Bachelors","yes","yes","Financial",3,"20%",2,4,4,3,2,4,1,4,2,3,5,2,4,2,2,3,4,2,4,2,4,4,5,2,5,4,3,5,1,4,4,4,3,2,4,4,2,4,2,2
24,1,"y","Associates","no","no","Retail",3,"50%",4,3,3,4,4,4,2,3,1,1,5,5,5,4,4,1,2,1,2,1,1,5,5,5,1,1,1,1,1,1,4,3,4,2,4,3,5,4,2,1
24,1,"y","Bachelors","no","yes","Consulting",3,"30%",3,5,4,3,5,5,4,4,1,1,3,3,4,3,3,4,3,4,4,3,5,5,5,5,1,1,4,3,3,1,4,4,3,3,4,3,3,5,3,1
25,1,"y","Bachelors","yes","yes","Insurance",3,"30%",2,4,2,4,3,5,3,2,1,2,4,4,3,2,3,2,2,1,4,2,5,5,4,4,2,1,1,3,1,1,4,3,2,2,4,2,4,4,2,2
25,1,"y","Bachelors","no","yes","Operations",3,"50%",4,4,5,5,4,4,2,3,1,1,5,4,4,4,4,2,2,2,1,2,4,5,5,5,3,1,1,3,1,2,5,5,4,4,4,4,5,5,5,5
26,1,"n","none","no","no","Manufacturing",3,"70%",4,4,3,4,4,3,3,3,1,1,4,4,3,4,4,4,2,2,4,2,4,5,5,5,2,1,1,4,2,2,4,4,4,4,4,2,4,2,2,2
26,1,"y","Bachelors","yes","yes","Insurance",3,"70%",4,2,3,5,2,3,4,4,2,1,5,4,4,4,5,1,1,1,3,1,1,5,4,4,4,3,3,5,2,4,4,4,4,3,4,4,5,5,3,2
26,1,"y","Bachelors","no","yes","Building ",3,"30%",5,5,4,1,4,5,2,2,1,2,5,4,4,5,4,2,1,1,2,1,5,5,5,5,2,1,1,2,1,1,5,5,4,4,4,3,4,4,4,4
26,1,"y","Masters","no","yes","Marketing",3,"50%",3,4,2,4,2,3,4,3,2,1,2,4,2,3,2,3,3,4,4,3,2,4,4,4,4,3,2,4,1,4,4,4,4,4,3,4,5,4,4,4
27,1,"y","Associates","no","yes","Technology",3,"50%",4,1,2,2,2,4,4,3,3,1,4,1,2,1,2,5,2,1,2,2,4,5,5,4,1,1,4,3,1,4,4,4,2,1,4,1,4,5,1,1
28,1,"n","none","no","yes","Consulting",3,"10%",3,5,4,4,3,4,3,4,3,1,4,2,3,3,4,4,2,3,4,3,5,5,5,5,2,4,2,4,3,2,4,4,4,4,4,2,4,2,2,3
28,1,"y","Bachelors","no","yes","Technology",3,"20%",3,2,2,4,2,2,3,2,2,2,3,2,2,3,2,4,3,3,4,2,2,4,4,3,4,4,3,4,3,3,2,2,4,1,4,3,4,3,3,2
28,1,"y","Bachelors","no","yes","Marketing",3,"30%",4,4,4,4,4,4,3,3,2,1,4,3,3,4,3,3,2,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2
28,1,"y","Bachelors","no","yes","Consulting",3,"30%",4,3,2,3,3,3,4,4,2,3,4,4,2,3,3,3,4,2,4,2,4,5,5,5,4,2,2,4,1,4,3,4,3,4,4,4,4,3,3,3
28,1,"y","Masters","no","yes","Operations",3,"30%",5,4,3,2,3,4,1,2,2,5,4,2,2,3,2,3,3,3,3,2,5,4,4,5,2,2,1,4,4,2,3,3,4,4,4,3,4,4,3,2
28,1,"y","Associates","no","yes","Marketing",3,"70%",2,4,4,3,3,3,4,4,2,2,3,4,4,2,3,2,2,3,3,4,4,5,5,5,4,2,2,4,4,2,4,5,5,4,4,4,4,5,4,3
29,1,"n","none","no","yes","Non-Profit",3,"50%",4,4,4,4,4,4,2,2,2,2,4,4,3,4,4,3,4,2,3,2,4,4,4,4,3,2,2,2,2,2,3,3,4,3,3,3,4,4,3,2
29,1,"n","none","no","yes"," Construction",3,"30%",5,5,5,5,4,4,3,3,1,1,4,4,2,5,4,2,2,2,3,3,5,4,5,5,3,4,2,3,2,4,4,4,4,4,4,2,4,4,3,2
23,1,"n","none","yes","no","Non-Profit",3,"20%",4,4,3,2,2,4,4,1,2,1,3,4,5,4,2,2,4,5,4,2,4,4,3,4,2,2,2,4,1,2,4,4,4,4,4,5,4,5,2,3
23,1,"n","none","yes","no","Construction",3,"50%",4,5,5,4,4,4,2,3,1,2,5,4,3,4,4,3,2,2,3,2,3,4,4,4,2,4,4,3,2,3,4,4,4,3,4,2,4,4,3,3
23,1,"y","Bachelors","yes","no","Manufacturing",3,"70%",2,3,3,3,4,2,2,4,3,2,4,2,3,2,3,3,2,2,4,2,3,4,5,3,3,2,2,2,2,2,4,3,4,1,2,2,4,4,3,1
23,1,"y","Associates","yes","no","Restaurant",3,"50%",4,4,3,4,4,4,2,2,1,1,5,4,4,4,4,2,2,1,3,2,3,5,5,5,3,2,2,2,1,2,5,5,4,3,4,4,4,5,3,2
23,1,"y","Bachelors","yes","no","Programmer",3,"20%",2,4,2,5,2,4,2,2,1,1,4,3,3,2,4,3,1,4,4,2,3,4,5,4,3,3,2,5,1,1,5,5,5,2,5,5,4,4,4,3
26,1,"y","Bachelors","yes","no","Programmer",3,"50%",2,4,3,4,3,3,3,3,2,1,3,2,4,2,4,3,2,3,4,2,4,4,4,3,4,4,2,4,5,5,5,5,4,2,2,4,4,3,2,3
30,1,"n","none","yes","yes","Financial",3,"20%",5,3,4,4,4,3,3,2,1,1,3,5,3,4,4,2,1,3,3,3,5,5,5,5,2,3,2,3,2,3,5,5,4,3,5,4,5,4,2,3
30,1,"n","none","yes","yes","Manufacturing",3,"70%",2,2,2,2,2,2,4,4,2,3,2,2,2,2,2,4,3,2,4,3,2,5,5,5,2,2,3,4,1,3,2,2,2,1,1,1,2,4,1,1
23,1,"n","none","yes","yes","Insurance",4,"30%",4,5,4,5,4,4,2,3,1,1,4,2,2,4,4,5,1,1,4,2,2,4,2,4,1,1,1,2,5,1,5,5,4,3,4,2,4,4,4,4
23,1,"n","none","no","yes","Government",4,"30%",3,3,2,4,4,3,3,4,1,2,2,2,2,2,3,4,2,4,3,2,3,2,5,4,3,2,2,3,2,3,2,2,2,2,4,3,2,4,2,3
23,1,"n","none","no","no","Consulting",4,"50%",5,5,4,4,4,4,2,1,1,1,5,3,5,4,5,3,2,1,3,1,4,4,4,4,3,2,1,1,1,1,5,5,4,4,4,3,4,4,3,4
23,1,"n","none","no","yes","Retail",4,"10%",4,4,3,4,4,4,3,4,2,2,4,3,3,4,5,2,1,2,3,2,3,4,4,4,2,2,2,3,2,2,4,4,3,2,2,2,3,3,2,2
24,1,"y","Associates","no","yes","Manufacturing",4,"10%",2,5,5,4,5,5,1,1,1,2,1,5,4,2,4,1,2,5,1,4,5,4,4,4,2,2,2,1,1,1,5,5,5,5,5,5,5,5,3,4
24,1,"y","Bachelors","no","yes","Financial",4,"10%",4,3,2,2,2,2,4,3,4,3,2,3,5,3,2,3,4,4,4,3,3,3,4,2,4,4,4,4,4,4,3,3,4,4,2,3,3,3,3,2
25,1,"n","none","no","yes","Retail",4,"70%",2,2,2,4,2,3,5,4,4,3,1,2,2,2,2,4,4,4,4,2,5,5,5,5,2,2,2,1,3,2,5,4,5,4,4,4,4,5,3,3
25,1,"y","Bachelors","no","yes","Financial",4,"30%",1,1,1,3,1,1,3,3,5,1,2,1,1,1,1,5,5,5,5,4,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
25,1,"y","Associates","no","yes","Technology",4,"10%",4,3,3,4,4,4,3,3,3,2,3,2,3,4,4,3,2,3,4,3,4,4,4,4,3,2,2,3,2,3,3,3,3,2,2,3,3,3,2,2
